N° Cruce desde salida en Estación Central,Comuna,Nivel de prioridad social,Densidad poblacional por KM cuadrado,Índice de comuna Rural/Urbana,Distancia de cruce legal,Señales de fiscalización,Tipo de suelo en uso
1°,San Bernardo,Media alta prioridad,1976.5,Mixta (1.354% de Población Rural),1.1KM,No,Zona industrial
2°,San Bernardo,Media alta prioridad,1976.5,Mixta (1.354% de Población Rural),2.8KM,Si,Zona Residencial
3°,Buin,Media baja prioridad,546.5,"Mixta (13,7% de Población Rural)",400MT,Si,Zona residencial
4°,Buin,Media baja prioridad,546.5,"Mixta (13,7% de Población Rural)",2KM,No,Zona industrial
5°,Buin,Media baja prioridad,546.5,"Mixta (13,7% de Población Rural)",3.4KM,No,zona industrial
