categoria,fallecidos_2019.0,fallecidos_2020.0,fallecidos_2021.0,fallecidos_2022.0,fallecidos_2023.0,fallecidos_2024.0,graves_2019.0,graves_2020.0,graves_2021.0,graves_2022.0,graves_2023.0,graves_2024.0,leves_2019.0,leves_2020.0,leves_2021.0,leves_2022.0,leves_2023.0,leves_2024.0
00:00-02:59,12,0,0,0,0,6,40,0,0,0,0,20,4,0,0,0,0,2
03:00-05:59,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
06:00-08:59,0,0,0,0,16,8,0,0,0,0,8,4,0,0,0,0,12,6
09:00-11:59,0,8,0,0,0,4,0,24,0,0,0,12,0,4,0,0,0,2
12:00-14:59,0,0,12,0,0,6,0,0,4,0,0,2,0,0,20,0,0,10
15:00-17:59,0,0,12,0,0,6,0,0,16,0,0,8,0,0,16,0,0,8
18:00-20:59,0,0,0,28,0,14,0,0,0,12,0,6,0,0,0,8,0,4
21:00-23:59,0,0,0,20,0,10,0,0,0,12,0,6,0,0,0,20,0,10
